url,response,exception
instagram.com/p/C8DVezWtVdQ,Error: dictionary update sequence element #0 has length 1; 2 is required
instagram.com/p/C8EvOdCtql1,"{""reel_url"": ""https://www.instagram.com/p/C8EvOdCtql1"", ""fashion"": {""Kids Tops"": {""colors"": [""White""], ""patterns"": [""Ditsy""], ""brands"": [""H&M""]}, ""Kids Tights"": {""colors"": [""White""], ""patterns"": [], ""brands"": []}, ""Kids Bibs"": {""colors"": [""White""], ""patterns"": [""Polka""], ""brands"": []}, ""Kids Headbands"": {""colors"": [""White""], ""patterns"": [], ""brands"": []}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8EtL8OI4mV,"{""reel_url"": ""https://www.instagram.com/p/C8EtL8OI4mV"", ""fashion"": {""Kids Pyjamas"": {""colors"": [""Light Blue"", ""White""], ""patterns"": [], ""brands"": []}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8Es2ATIUal,"{""reel_url"": ""https://www.instagram.com/p/C8Es2ATIUal"", ""brands"": [], ""verticals"": {""fashion"": {""Kids Dresses"": {""colors"": [""Red"", ""White""], ""patterns"": [""Polka""], ""brands"": []}, ""Kids Caps"": {""colors"": [""White""], ""patterns"": [], ""brands"": []}, ""Kids Shoes"": {""colors"": [""Pink""], ""patterns"": [], ""brands"": []}}}, ""comment"": ""\n\nIn this JSON structure, I have described the clothing and accessories worn by a child in the image. No discernible brand logos or names are visible, so the brands array is left empty."", ""category_mix"": {""fashion"": [""Clothing""]}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8Ep_fXoI7N,"{""reel_url"": ""https://www.instagram.com/p/C8Ep_fXoI7N"", ""fashion"": {""Kids T-shirts"": {""colors"": [""Red""], ""patterns"": [], ""brands"": [""U.S. Polo Assn.""]}, ""Kids Trousers"": {""colors"": [""Grey""], ""patterns"": [], ""brands"": []}, ""Kids Caps"": {""colors"": [""White"", ""Blue""], ""patterns"": [""Striped""], ""brands"": []}, ""Kids Shoes"": {""colors"": [""Grey"", ""White""], ""patterns"": [], ""brands"": [""Slazenger""]}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8El1lDoXXh,"{""reel_url"": ""https://www.instagram.com/p/C8El1lDoXXh"", ""fashion"": {""Kids Hoodies"": {""colors"": [""Blue""], ""patterns"": [], ""brands"": [""Marvel""]}, ""Kids Trousers"": {""colors"": [""Black""], ""patterns"": [], ""brands"": []}, ""Kids Shoes"": {""colors"": [""White""], ""patterns"": [], ""brands"": []}, ""Kids Caps"": {""colors"": [""Blue"", ""Green"", ""Yellow""], ""patterns"": [], ""brands"": []}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8Ei6kMBUEg,"{""reel_url"": ""https://www.instagram.com/p/C8Ei6kMBUEg"", ""fashion"": {""Kids Polo Shirts"": {""colors"": [""White"", ""Navy""], ""patterns"": [""Striped""], ""brands"": [""H&M""]}, ""Kids Shorts"": {""colors"": [""Beige""], ""brands"": [""H&M""]}, ""Kids Sneakers"": {""colors"": [""White"", ""Green""], ""brands"": [""adidas""]}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8EiEv6hk59,"{""reel_url"": ""https://www.instagram.com/p/C8EiEv6hk59"", ""fashion"": {""Kids T-shirts"": {""colors"": [""Black"", ""Blue""], ""patterns"": [], ""brands"": [""H&M""]}, ""Kids Trousers"": {""colors"": [""Beige""], ""patterns"": [], ""brands"": []}, ""Kids Shoes"": {""colors"": [""Brown""], ""patterns"": [], ""brands"": [""ZARA""]}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8EhTUeB1a7,"{""reel_url"": ""https://www.instagram.com/p/C8EhTUeB1a7"", ""fashion"": {""Kids T-shirts"": {""colors"": [""Navy"", ""Blue""], ""patterns"": [], ""brands"": [""H&M""]}, ""Kids Trousers"": {""colors"": [""Beige"", ""Black""], ""patterns"": [""Striped""], ""brands"": [""ZARA""]}, ""Kids Shoes"": {""colors"": [""Black""], ""patterns"": [], ""brands"": []}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8EfsGUyakx,"{""reel_url"": ""https://www.instagram.com/p/C8EfsGUyakx"", ""fashion"": {""Kids Dresses"": {""colors"": [""Blue"", ""White"", ""Black""], ""patterns"": [""Floral""], ""brands"": [""H&M""]}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C7XEs1eoN2O,"{""reel_url"": ""https://www.instagram.com/p/C7XEs1eoN2O"", ""fashion"": {""Kids Dresses"": {""colors"": [""White""], ""patterns"": [], ""brands"": []}, ""Kids Shorts"": {""colors"": [""Beige""], ""patterns"": [], ""brands"": []}, ""Kids T-shirts"": {""colors"": [""Beige""], ""patterns"": [], ""brands"": []}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8EdBiRsBqE,"{""reel_url"": ""https://www.instagram.com/p/C8EdBiRsBqE"", ""fashion"": {""Kids Dresses"": {""colors"": [""Peach"", ""White"", ""Blue""], ""patterns"": [""Floral""], ""brands"": []}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8EX1qhhabt,"{""reel_url"": ""https://www.instagram.com/p/C8EX1qhhabt"", ""fashion"": {""Kids Caps"": {""colors"": [""Camo"", ""Black"", ""Red""], ""patterns"": [""Camouflage""], ""brands"": []}, ""Kids T-shirts"": {""colors"": [""Blue""], ""patterns"": [], ""brands"": []}, ""Kids Shorts"": {""colors"": [""Blue""], ""patterns"": [], ""brands"": []}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8EFcE-MKNH,"{""reel_url"": ""https://www.instagram.com/p/C8EFcE-MKNH"", ""fashion"": {""Kids Bibs"": {""colors"": [""White""], ""patterns"": [""Ditsy""], ""brands"": []}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8EPKYzNTVZ,"{""reel_url"": ""https://www.instagram.com/p/C8EPKYzNTVZ"", ""fashion"": {""Kids Jackets"": {""colors"": [""Black"", ""Gold"", ""Silver"", ""Pink""], ""patterns"": [], ""brands"": [""HM Kids""]}, ""Kids Sunglasses"": {""colors"": [""Black""], ""patterns"": [], ""brands"": []}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8EM8pZMzxt,"{""reel_url"": ""https://www.instagram.com/p/C8EM8pZMzxt"", ""fashion"": {""Kids Dresses"": {""colors"": [""Pink"", ""Blue""], ""patterns"": [""Floral""], ""brands"": [""H&M""]}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8D5hz9PtLj,"{""reel_url"": ""https://www.instagram.com/p/C8D5hz9PtLj"", ""fashion"": {""Kids Caps"": {""colors"": [""Navy""], ""patterns"": [], ""brands"": [""Polo Ralph Lauren""]}, ""Kids Jackets"": {""colors"": [""Blue""], ""patterns"": [], ""brands"": [""Zara Kids""]}, ""Kids Jeans"": {""colors"": [""Blue""], ""patterns"": [], ""brands"": [""H&M Kids""]}}, ""comment"": ""\nPlease note that \""Polo Ralph Lauren\"" is identified based on the visible logo on the cap and the other brands are included based on the hashtags provided in the caption, assuming the clothing the child is wearing is from these brands. The colors listed are the predominant colors visible in the products and no specific patterns are discernible from the image provided."", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C7p_q7CJ573,"{""reel_url"": ""https://www.instagram.com/p/C7p_q7CJ573"", ""brands"": [""H&M"", ""GAP"", ""Bibs"", ""New Balance""], ""verticals"": {""fashion"": {""Kids Bibs"": {""colors"": [""Yellow"", ""Blue""], ""patterns"": [], ""brands"": [""Bibs""]}, ""Kids Shoes"": {""colors"": [""Beige"", ""White""], ""patterns"": [], ""brands"": [""New Balance""]}, ""Kids T-shirts"": {""colors"": [""Blue""], ""patterns"": [], ""brands"": [""H&M""]}, ""Kids Shorts"": {""colors"": [""Beige""], ""patterns"": [], ""brands"": [""GAP""]}}}, ""comment"": """", ""category_mix"": {""fashion"": [""Clothing""]}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8Dv4ywhafw,"{""reel_url"": ""https://www.instagram.com/p/C8Dv4ywhafw"", ""fashion"": {""Kids T-shirts"": {""colors"": [""White"", ""Beige""], ""patterns"": [""Floral""], ""brands"": []}, ""Kids Shorts"": {""colors"": [""Beige""], ""patterns"": [], ""brands"": []}, ""Kids Shoes"": {""colors"": [""White"", ""Blue"", ""Red"", ""Yellow""], ""patterns"": [], ""brands"": []}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8DlN_Lv7zZ,"{""reel_url"": ""https://www.instagram.com/p/C8DlN_Lv7zZ"", ""fashion"": {""Kids Sweatshirts"": {""colors"": [""Grey""], ""patterns"": [], ""brands"": [""littleweekend_official"", ""grshimamura""]}, ""Kids Trousers"": {""colors"": [""White""], ""patterns"": [], ""brands"": [""digreen_kids""]}, ""Kids Sneakers"": {""colors"": [""White"", ""Green""], ""patterns"": [], ""brands"": [""nike""]}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8DcYvFBoYz,"{""reel_url"": ""https://www.instagram.com/p/C8DcYvFBoYz"", ""fashion"": {""Kids Trousers"": {""colors"": [""Beige""], ""patterns"": [], ""brands"": []}, ""Kids Shoes"": {""colors"": [""White"", ""Blue""], ""patterns"": [], ""brands"": [""Converse""]}, ""Kids Tops"": {""colors"": [""White""], ""patterns"": [], ""brands"": []}, ""Kids Caps"": {""colors"": [""Beige""], ""patterns"": [], ""brands"": []}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8Db_uay4wI,"{""reel_url"": ""https://www.instagram.com/p/C8Db_uay4wI"", ""fashion"": {""Kids Sweatshirts"": {""colors"": [""Yellow"", ""White"", ""Blue"", ""Beige""], ""patterns"": [""Ditsy""], ""brands"": [""HM Kids""]}, ""Kids Jeans"": {""colors"": [""Blue""], ""patterns"": [], ""brands"": []}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8DTXX_MJh5,"{""reel_url"": ""https://www.instagram.com/p/C8DTXX_MJh5"", ""fashion"": {""Kids T-shirts"": {""colors"": [""White""], ""patterns"": [], ""brands"": []}, ""Kids Pants"": {""colors"": [""Pink""], ""patterns"": [""Animal Print""], ""brands"": []}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8DO5cdvtcr,"{""reel_url"": ""https://www.instagram.com/p/C8DO5cdvtcr"", ""fashion"": {""Kids Bibs"": {""colors"": [""Beige""], ""patterns"": [], ""brands"": []}, ""Kids T-shirts"": {""colors"": [""Beige""], ""patterns"": [], ""brands"": []}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8DHcmISHb6,"{""reel_url"": ""https://www.instagram.com/p/C8DHcmISHb6"", ""fashion"": {""Kids Dresses"": {""brands"": [], ""colors"": [""Purple"", ""White""], ""patterns"": []}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8DGqmdMBQr,"{""reel_url"": ""https://www.instagram.com/p/C8DGqmdMBQr"", ""fashion"": {""Kids T-shirts"": {""colors"": [""White"", ""Pink""], ""patterns"": [], ""brands"": []}, ""Kids Leggings"": {""colors"": [""Pink""], ""patterns"": [], ""brands"": []}, ""Kids Shoes"": {""colors"": [""Beige""], ""patterns"": [], ""brands"": []}, ""Kids Sunglasses"": {""colors"": [""Yellow""], ""patterns"": [], ""brands"": []}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8DGE3cs9Dw,"{""reel_url"": ""https://www.instagram.com/p/C8DGE3cs9Dw"", ""fashion"": {""Kids Polo Shirts"": {""colors"": [""White"", ""Blue"", ""Navy""], ""patterns"": [""Striped""], ""brands"": [""Reiss""]}, ""Kids Shorts"": {""colors"": [""White""], ""patterns"": [], ""brands"": [""Reiss""]}, ""Kids Shoes"": {""colors"": [""White""], ""patterns"": [], ""brands"": [""Reiss""]}, ""Kids Dresses"": {""colors"": [""Beige"", ""Navy""], ""patterns"": [""Striped""], ""brands"": [""Reiss""]}, ""Kids Sandals"": {""colors"": [""Black""], ""patterns"": [], ""brands"": [""Reiss""]}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8C_HQuus8J,"{""reel_url"": ""https://www.instagram.com/p/C8C_HQuus8J"", ""fashion"": {""Kids Caps"": {""colors"": [""Pink""], ""patterns"": [], ""brands"": []}, ""Kids Jeans"": {""colors"": [""Blue""], ""patterns"": [], ""brands"": []}, ""Kids Shoes"": {""colors"": [""Pink""], ""patterns"": [], ""brands"": []}, ""Kids Tops"": {""colors"": [""Beige""], ""patterns"": [], ""brands"": []}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8C-aH3I_gn,"{""reel_url"": ""https://www.instagram.com/p/C8C-aH3I_gn"", ""fashion"": {""Kids Dresses"": {""colors"": [""Pink"", ""Beige""], ""patterns"": [""Floral""], ""brands"": []}, ""Kids Headbands"": {""colors"": [""Pink"", ""White"", ""Green""], ""patterns"": [""Floral""], ""brands"": []}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_products""}"
instagram.com/p/C8C8teVIzFj,"{""reel_url"": ""https://www.instagram.com/p/C8C8teVIzFj"", ""fashion"": {""Kids Pyjamas"": {""colors"": [""White"", ""Pink"", ""Blue""], ""patterns"": [], ""brands"": []}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8C7UafMx4K,Error: dictionary update sequence element #0 has length 1; 2 is required
instagram.com/p/C8C6fK5M-0-,"{""reel_url"": ""https://www.instagram.com/p/C8C6fK5M-0-"", ""fashion"": {""Kids Tops"": {""colors"": [""Pink"", ""White"", ""Black""], ""patterns"": [""Striped""], ""brands"": []}, ""Kids Jeans"": {""colors"": [""Black""], ""patterns"": [], ""brands"": []}, ""Kids Sandals"": {""colors"": [""White""], ""patterns"": [], ""brands"": []}, ""Kids Jackets"": {""colors"": [""Orange""], ""patterns"": [], ""brands"": []}, ""Teen Jeans"": {""colors"": [""Blue""], ""patterns"": [], ""brands"": []}, ""Teen Jackets"": {""colors"": [""Blue""], ""patterns"": [], ""brands"": []}, ""Teen T-shirts"": {""colors"": [""White""], ""patterns"": [], ""brands"": []}, ""Teen Shoes"": {""colors"": [""White""], ""patterns"": [], ""brands"": []}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8C2n4xoJ9W,"{""reel_url"": ""https://www.instagram.com/p/C8C2n4xoJ9W"", ""fashion"": {""Kids Dresses"": {""colors"": [""White"", ""Beige""], ""patterns"": [""Striped""], ""brands"": []}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8CyDssIiZ_,"{""reel_url"": ""https://www.instagram.com/p/C8CyDssIiZ_"", ""classification"": ""others""}"
instagram.com/p/C8CxSOUtw71,"{""reel_url"": ""https://www.instagram.com/p/C8CxSOUtw71"", ""brands"": [""H&M""], ""verticals"": {""fashion"": {""Kids T-shirts"": {""colors"": [""Red""], ""patterns"": [], ""brands"": [""H&M""]}}}, ""comment"": """", ""category_mix"": {""fashion"": [""Clothing""]}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8C0cAGMxCM,"{""reel_url"": ""https://www.instagram.com/p/C8C0cAGMxCM"", ""fashion"": {""Kids Hats"": {""colors"": [""Beige""], ""patterns"": [], ""brands"": []}, ""Kids Dresses"": {""colors"": [""Pink"", ""Blue"", ""White""], ""patterns"": [""Floral"", ""Striped""], ""brands"": []}, ""Kids Skirts"": {""colors"": [""Pink""], ""patterns"": [""Floral""], ""brands"": []}, ""Kids Tops"": {""colors"": [""White""], ""patterns"": [""Ditsy""], ""brands"": []}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8Ctobzo-9A,"{""reel_url"": ""https://www.instagram.com/p/C8Ctobzo-9A"", ""fashion"": {""Kids Dresses"": {""colors"": [""White""], ""patterns"": [""Ditsy""], ""brands"": []}, ""Kids Cardigans"": {""colors"": [""Pink""], ""patterns"": [], ""brands"": []}, ""Kids Sneakers"": {""colors"": [""White""], ""patterns"": [], ""brands"": [""Reebok""]}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8CkEblsI1E,"{""reel_url"": ""https://www.instagram.com/p/C8CkEblsI1E"", ""fashion"": {""Kids Bibs"": {""colors"": [""Beige""], ""patterns"": [], ""brands"": [""Bibs""]}, ""Kids Trousers"": {""colors"": [""Olive""], ""patterns"": [], ""brands"": [""H&M""]}, ""Kids Tops"": {""colors"": [""Olive""], ""patterns"": [], ""brands"": [""H&M""]}, ""Kids Socks"": {""colors"": [""Beige""], ""patterns"": [], ""brands"": []}}, ""comment"": ""\nThe image displays a baby dressed in olive-colored tops and trousers, and wearing beige socks. The bib pacifier is also in beige color. Brands identified from the caption include H&M and Bibs. There are no distinct patterns visible on the clothing."", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8ChI3FRi2E,"{""reel_url"": ""https://www.instagram.com/p/C8ChI3FRi2E"", ""fashion"": {""Kids Tops"": {""colors"": [""Blue""], ""patterns"": [], ""brands"": []}, ""Kids Shorts"": {""colors"": [""Black"", ""Pink"", ""Blue"", ""Beige""], ""patterns"": [""Ditsy""], ""brands"": []}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8ChDJ2IJhe,"{""reel_url"": ""https://www.instagram.com/p/C8ChDJ2IJhe"", ""fashion"": {""Kids Sweaters"": {""colors"": [""Purple""], ""patterns"": [], ""brands"": []}, ""Kids Leggings"": {""colors"": [""White"", ""Beige""], ""patterns"": [], ""brands"": []}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8CPUbqIejP,"{""reel_url"": ""https://www.instagram.com/p/C8CPUbqIejP"", ""function"": {""name"": ""videoAnalysisLifestyle"", ""parameters"": {""type"": ""object"", ""description"": ""You are an AI-powered brand manager for a kids' clothing brand, whose job is to analyze Instagram images and extract various characteristics from them. Your task is to tag baby and teen clothes and fashion items seen in Instagram images. Identify and categorize products based on their type, color, and pattern. Specifically, focus on baby and teen clothes and other fashion items, describing their colors and patterns in detail."", ""properties"": {""brands"": {""title"": ""Brands"", ""type"": ""array"", ""description"": ""Brands present in image and caption data, analyse logos, fetch names using optical character recognition and do caption analysis."", ""items"": {""type"": ""string""}}, ""verticals"": {""title"": ""Product verticals"", ""type"": ""object"", ""description"": ""Product verticals in the image"", ""properties"": {""fashion"": {""title"": ""Fashion"", ""type"": ""object"", ""parameters"": {""description"": ""The key is product only from the enum: ['Kids Caps'] and matches the definition - 'Products included in the image and caption matching to enum. Add product names only if they match with the product shown in the image or present in the caption. Also try and do optical character recognition on the product to understand more about it. The value to the found key should be in structure: {'type': 'object', 'description': 'Brands, patterns and colours of the products.', 'properties': {'colors': {'title': 'Colours', 'type': 'array', 'items': {'type': 'string', 'enum': ['Olive']}, 'description': 'Predominant colors of all the products visible in the image. Empty list if no colour found.'}, 'patterns': {'title': 'Patterns', 'type': 'array', 'items': {'type': 'string', 'enum': []}, 'description': 'Predominant patterns of the all the products visible in image.Empty list if no patterns found'}, 'brands': {'title': 'Brands', 'type': 'array', 'description': 'Brands present in image and caption data, analyse logos, fetch names using optical character recognition and do caption analysis. Also this brand should be linked to the product being referred.', 'items': {'type': 'string'}}}}"", ""Kids Caps"": {""type"": ""object"", ""description"": ""Brands, patterns and colours of the products."", ""properties"": {""colors"": {""title"": ""Colours"", ""type"": ""array"", ""items"": {""type"": ""string"", ""enum"": [""Olive""]}, ""description"": ""Predominant colors of all the products visible in the image.""}, ""patterns"": {""title"": ""Patterns"", ""type"": ""array"", ""items"": {""type"": ""string"", ""enum"": []}, ""description"": ""Predominant patterns of the all the products visible in image.""}, ""brands"": {""title"": ""Brands"", ""type"": ""array"", ""description"": ""Brands present in image and caption data, analyse logos, fetch names using optical character recognition and do caption analysis."", ""items"": {""type"": ""string""}}}}}}}}}, ""required"": [""fashion""]}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8CR4dXqp7g,"{""reel_url"": ""https://www.instagram.com/p/C8CR4dXqp7g"", ""fashion"": {""Kids Caps"": {""colors"": [""Navy""], ""patterns"": [], ""brands"": [""Zara""]}, ""Kids Tops"": {""colors"": [""White""], ""patterns"": [], ""brands"": [""Zara""]}, ""Kids Shorts"": {""colors"": [""Aqua"", ""Mint""], ""patterns"": [], ""brands"": [""Zara""]}, ""Kids Shoes"": {""colors"": [""White"", ""Mint"", ""Purple""], ""patterns"": [], ""brands"": [""Zara""]}, ""Kids Sunglasses"": {""colors"": [""Black""], ""patterns"": [], ""brands"": []}, ""Kids Bags"": {""colors"": [""Beige""], ""patterns"": [], ""brands"": []}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8CUT2mKef3,"{""reel_url"": ""https://www.instagram.com/p/C8CUT2mKef3"", ""fashion"": {""Kids Dungarees"": {""colors"": [""Beige""], ""patterns"": [], ""brands"": [""Zara""]}, ""Kids Caps"": {""colors"": [""Beige"", ""Olive""], ""patterns"": [""Floral""], ""brands"": []}, ""Kids Shoes"": {""colors"": [""Peach""], ""patterns"": [], ""brands"": []}, ""Kids Bibs"": {""colors"": [""Peach""], ""patterns"": [], ""brands"": []}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8CZFuytwg3,"{""reel_url"": ""https://www.instagram.com/p/C8CZFuytwg3"", ""fashion"": {""Kids T-shirts"": {""colors"": [""White"", ""Green""], ""patterns"": [], ""brands"": []}, ""Kids Shorts"": {""colors"": [""Pink""], ""patterns"": [], ""brands"": []}, ""Kids Caps"": {""colors"": [""Blue""], ""patterns"": [], ""brands"": []}, ""Kids Trousers"": {""colors"": [""Grey""], ""patterns"": [], ""brands"": []}, ""Kids Shoes"": {""colors"": [""Black""], ""patterns"": [], ""brands"": []}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8CWCLXsM50,"{""reel_url"": ""https://www.instagram.com/p/C8CWCLXsM50"", ""fashion"": {""Kids T-shirts"": {""colors"": [""White"", ""Yellow""], ""patterns"": [""Ditsy""], ""brands"": [""H&M""]}, ""Kids Shorts"": {""colors"": [""Beige""], ""patterns"": [], ""brands"": []}, ""Kids Helmets"": {""colors"": [""Black""], ""patterns"": [], ""brands"": []}, ""Kids Shoes"": {""colors"": [""Black"", ""White""], ""patterns"": [], ""brands"": []}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8CUgXLP3Iq,"{""reel_url"": ""https://www.instagram.com/p/C8CUgXLP3Iq"", ""brands"": [], ""verticals"": {""fashion"": {""Kids T-shirts"": {""colors"": [""White"", ""Red"", ""Pink""], ""patterns"": [], ""brands"": []}, ""Kids Trousers"": {""colors"": [""Pink""], ""patterns"": [], ""brands"": []}}}, ""comment"": """", ""category_mix"": {""fashion"": [""Clothing""]}, ""classification"": ""kids_products""}"
instagram.com/p/C8CT43osSpW,"{""reel_url"": ""https://www.instagram.com/p/C8CT43osSpW"", ""classification"": ""others""}"
instagram.com/p/C8CT43eMEnt,"{""reel_url"": ""https://www.instagram.com/p/C8CT43eMEnt"", ""classification"": ""others""}"
instagram.com/p/C8CT44FMWfu,"{""reel_url"": ""https://www.instagram.com/p/C8CT44FMWfu"", ""classification"": ""others""}"
instagram.com/p/C8CT4RpMd5y,"{""reel_url"": ""https://www.instagram.com/p/C8CT4RpMd5y"", ""classification"": ""others""}"
instagram.com/p/C8CT1XqtDLB,"{""reel_url"": ""https://www.instagram.com/p/C8CT1XqtDLB"", ""classification"": ""others""}"
instagram.com/p/C8CT1XkN3T5,"{""reel_url"": ""https://www.instagram.com/p/C8CT1XkN3T5"", ""classification"": ""others""}"
instagram.com/p/C8CS7loMO7X,"{""reel_url"": ""https://www.instagram.com/p/C8CS7loMO7X"", ""classification"": ""others""}"
instagram.com/p/C8CS7jWM7GX,"{""reel_url"": ""https://www.instagram.com/p/C8CS7jWM7GX"", ""classification"": ""others""}"
instagram.com/p/C8CS7lmsRpq,"{""reel_url"": ""https://www.instagram.com/p/C8CS7lmsRpq"", ""classification"": ""others""}"
instagram.com/p/C8CS6_ZMTB9,"{""reel_url"": ""https://www.instagram.com/p/C8CS6_ZMTB9"", ""classification"": ""others""}"
instagram.com/p/C8CSreftDaA,"{""reel_url"": ""https://www.instagram.com/p/C8CSreftDaA"", ""classification"": ""others""}"
instagram.com/p/C8CSrRHNoyA,"{""reel_url"": ""https://www.instagram.com/p/C8CSrRHNoyA"", ""classification"": ""others""}"
instagram.com/p/C8CHN73tuHl,"{""reel_url"": ""https://www.instagram.com/p/C8CHN73tuHl"", ""classification"": ""others""}"
instagram.com/p/C8CHN7RNzFg,"{""reel_url"": ""https://www.instagram.com/p/C8CHN7RNzFg"", ""classification"": ""others""}"
instagram.com/p/C8CHNZ_NkEa,"{""reel_url"": ""https://www.instagram.com/p/C8CHNZ_NkEa"", ""classification"": ""others""}"
instagram.com/p/C8CFY80sz4B,"{""reel_url"": ""https://www.instagram.com/p/C8CFY80sz4B"", ""classification"": ""others""}"
instagram.com/p/C8CFY8aM4vc,"{""reel_url"": ""https://www.instagram.com/p/C8CFY8aM4vc"", ""classification"": ""others""}"
instagram.com/p/C8CFY8hM_QQ,"{""reel_url"": ""https://www.instagram.com/p/C8CFY8hM_QQ"", ""classification"": ""others""}"
instagram.com/p/C8CFYXysQx3,"{""reel_url"": ""https://www.instagram.com/p/C8CFYXysQx3"", ""classification"": ""others""}"
instagram.com/p/C7BXqdRPdY-,"{""reel_url"": ""https://www.instagram.com/p/C7BXqdRPdY-"", ""fashion"": {""Kids Dresses"": {""colors"": [""Gray""], ""patterns"": [], ""brands"": []}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8B6o-aBrfH,"{""reel_url"": ""https://www.instagram.com/p/C8B6o-aBrfH"", ""fashion"": {""Kids Tops"": {""colors"": [""White""], ""patterns"": [], ""brands"": [""\u897f\u677e\u5c4b""]}, ""Kids Jeans"": {""colors"": [""Blue""], ""patterns"": [], ""brands"": [""H&M""]}, ""Kids Shoes"": {""colors"": [""White"", ""Red""], ""patterns"": [], ""brands"": [""Onitsuka Tiger""]}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8B0_wONF6b,"{""reel_url"": ""https://www.instagram.com/p/C8B0_wONF6b"", ""fashion"": {""Kids Shoes"": {""colors"": [""White""], ""patterns"": [], ""brands"": [""Nike""]}, ""Kids Trousers"": {""colors"": [""Brown""], ""patterns"": [], ""brands"": [""H&M Kids""]}, ""Kids Tops"": {""colors"": [""White""], ""patterns"": [], ""brands"": [""H&M Kids""]}, ""Kids Sweaters"": {""colors"": [""Black""], ""patterns"": [], ""brands"": [""H&M Kids""]}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
